stnq,name,lat,long,elev,date,year,Month,prcp,tavg,pet,spi1,spi3,spi6,spi12,spi24,spei1,spei3,spei6,spei12,spei24
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2000-01,2000,1,54.6,13.3,25.29078344,-0.832140326,-1.128264992,-1.388593462,-1.255086683,-0.73067878,-1.084364267,-1.368645096,-1.479562158,-1.392876629,-1.165892003
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2000-02,2000,2,25.4,16,36.68737242,-1.14207374,-0.758511427,-1.425887309,-1.323271327,-0.917218409,-1.412938765,-1.047809033,-1.43799569,-1.467576834,-1.326703862
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2000-03,2000,3,38.6,18.5,60.78391506,-0.795827863,-1.512481601,-1.926714506,-1.492962801,-1.002868801,-1.129521837,-1.766607578,-1.820933318,-1.555206226,-1.447772674
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2000-04,2000,4,168.9,19.9,74.80974198,1.105151986,-0.000256977,-0.862712452,-0.919931058,-0.682001983,1.215207483,-0.369475562,-1.149754446,-1.112356685,-1.210345924
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2000-05,2000,5,245.2,24.9,135.9004577,1.342603089,1.036857825,0.437814919,-0.637048239,-0.120376992,1.349981793,0.986688997,0.193629794,-0.880815378,-0.696010571
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2000-06,2000,6,43.8,27.7,171.7640604,-0.937096908,0.6441082,-0.162018241,-0.988423009,-0.247975672,-1.198674375,0.536616101,-0.501569383,-1.267668202,-0.776585276
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2000-07,2000,7,20.1,29.7,205.7099783,-1.956772547,-0.420281723,-0.437139795,-1.375069974,-0.287305197,-1.682553377,-0.750103448,-0.860150245,-1.524499939,-0.814301638
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2000-08,2000,8,24.7,29.1,187.7349573,-1.264430938,-2.311702966,-0.602073611,-1.511844273,-0.80597118,-1.373438953,-1.982156424,-0.953290833,-1.643715324,-1.331104745
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2000-09,2000,9,130.8,26.2,133.6388164,-0.039832782,-1.463162379,-0.488184071,-1.406738749,-1.479601123,-0.23022649,-1.553213406,-0.795458139,-1.562222626,-1.755336155
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2000-10,2000,10,21.5,21.8,84.17395798,-0.905488059,-1.054788054,-1.143426484,-1.427483029,-1.949189052,-1.08066263,-1.201785953,-1.463887342,-1.637136261,-1.955267029
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2000-11,2000,11,210.1,14.6,30.71845769,1.50336291,0.076633061,-1.300627676,-0.764371872,-1.672784898,1.643937903,0.025997528,-1.476999012,-1.104763821,-1.854797574
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2000-12,2000,12,48.3,8.6,9.261845901,-1.108966985,-0.196961202,-1.336144172,-1.060946773,-1.698963691,-0.912827554,-0.028071545,-1.510823109,-1.32203616,-1.843082345
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2001-01,2001,1,177,9.1,10.70026789,0.986724438,0.973192869,-0.34793918,-0.640018401,-1.52893108,1.140675594,1.240186198,-0.332508138,-0.921713173,-1.64554096
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2001-02,2001,2,31.6,15.1,32.17555699,-0.913037852,-0.226237568,-0.153125324,-0.611536912,-1.485928685,-1.170031167,-0.167028652,-0.109792985,-0.853844359,-1.619195127
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2001-03,2001,3,284.1,14.4,34.44735617,2.35923402,1.544928129,0.934430909,0.146110675,-1.00784387,2.261069938,1.70751788,1.104960794,-0.007536593,-1.249715108
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2001-04,2001,4,89.9,21.8,91.98676765,0.367916684,1.234227131,1.48091625,-0.096889011,-0.83269018,0.146105195,1.297804216,1.541441299,-0.25371382,-1.105412264
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2001-05,2001,5,121,24,125.0205582,0.16630452,1.23335656,0.904413332,-0.507351043,-1.031031161,-0.033921174,1.305256349,1.02255868,-0.62048473,-1.277907862
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2001-06,2001,6,410.1,26.4,154.0330835,1.683878614,1.297404031,1.81446348,0.671278787,-0.246915665,1.676875873,1.302635718,1.819744393,0.665603616,-0.471469788
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2001-07,2001,7,162.9,28.4,185.8642704,0.449375971,1.3231937,1.63438088,1.025650338,-0.213130186,0.334642959,1.339620115,1.66786236,1.017826574,-0.438495866
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2001-08,2001,8,316.9,28.2,174.8313077,1.661727488,1.935079093,2.226453176,1.847356473,0.504432193,1.642167414,1.845518046,2.094956685,1.789267724,0.392132851
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2001-09,2001,9,295.5,25.3,123.4590934,1.311093734,1.631858684,2.065122005,2.014171804,0.797140829,1.461061394,1.681465929,1.989597218,2.008192654,0.646483333
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2001-10,2001,10,201.9,19.6,66.13896989,0.960911482,1.681860804,2.031971281,2.35633333,1.1477631,1.140536894,1.741500906,1.959054257,2.287369841,1.021919769
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2001-11,2001,11,99.3,17.6,46.92027321,0.16616263,1.435903206,2.12651995,2.175026448,1.31420559,-0.001787525,1.596708451,2.032975278,2.287613926,1.210480523
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2001-12,2001,12,139.9,13.4,25.30866814,0.627019244,0.889934592,1.818700733,2.428089317,1.271839509,0.625383564,1.031720558,1.786441683,2.596995126,1.21554607
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2002-01,2002,1,65.6,12.4,21.57685458,-0.590987249,-0.000980036,1.605314726,2.182526787,1.292538237,-0.766221372,-0.023852757,1.620385299,2.294047337,1.232759387
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2002-02,2002,2,18.4,11.4,17.01496266,-1.456960312,-0.539934051,0.793904131,2.105597942,1.206097143,-1.125157808,-0.62504883,0.898733002,2.089010267,1.183144756
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2002-03,2002,3,69.6,15.5,40.70230366,-0.07287613,-1.054706085,0.090906872,1.680515995,1.324021013,0.018379346,-1.029991217,0.123357876,1.709477116,1.313280271
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2002-04,2002,4,127,21.3,87.27393257,0.751475252,-0.159905916,-0.214838662,1.80446879,1.26507766,0.713785156,-0.270758884,-0.277416349,1.731592438,1.219956822
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2002-05,2002,5,49.5,24,125.0205582,-0.882531249,-0.152820868,-0.606591647,1.667312735,0.937152189,-0.952882993,-0.301399019,-0.764978722,1.585387411,0.903787161
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2002-06,2002,6,91.7,26.2,151.4007689,-0.267396232,-0.350312417,-0.958207803,0.880920138,1.116374208,-0.119162551,-0.456773483,-1.000298211,0.958219447,1.135877733
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2002-07,2002,7,121.7,28.1,181.4437705,0.01837198,-0.71695602,-0.757288392,0.71113717,1.410619637,-0.082323459,-0.692865625,-0.779415103,0.738940807,1.366658513
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2002-08,2002,8,177,28.2,174.8313077,0.763573869,0.050994496,-0.176219224,0.316459226,1.686573843,0.833739277,0.072448337,-0.207253913,0.363814456,1.587159264
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2002-09,2002,9,188.1,25.9,130.1954762,0.515750939,0.493486131,0.020970684,0.004208936,1.711427672,0.444923464,0.486318396,-0.046078919,-0.018076707,1.722428455
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2002-10,2002,10,317.7,21.6,82.4337242,1.538542224,1.288154518,0.574056786,0.3247707,2.249115539,1.632840764,1.340876141,0.65800149,0.298692278,2.224475674
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2002-11,2002,11,116.3,15.1,33.15485605,0.41984253,1.560685621,0.868103025,0.371461966,2.057584839,0.507762267,1.675184298,0.974829165,0.358725725,2.0430392
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2002-12,2002,12,230.7,12.1,20.08225743,1.684674846,2.029473557,1.613310956,0.624901295,2.271206695,1.767202525,1.941822105,1.632587747,0.673928878,2.313720708
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2003-01,2003,1,95.8,9.4,11.51658638,-0.048718627,1.022255144,1.626131637,0.700972531,2.142412364,0.019224722,1.206083595,1.653740103,0.788553554,2.234635629
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2003-02,2003,2,138.9,11.8,18.39835586,1.11343341,1.307716194,1.837988652,0.991962684,2.202585403,1.265708339,1.436697252,1.862811677,1.103512324,2.243110112
USC00410235,"ANAHUAC, TX US",29.7878,-94.6343,7.3,2003-03,2003,3,80,15.6,41.29994995,0.118123661,0.423465734,1.767980344,1.049749135,1.940035869,0.206097847,0.571791115,1.862123958,1.127836149,1.943537606
